date,time,height
01/09/2010,01:29,3.65
01/09/2010,07:03,1.86
01/09/2010,13:59,3.55
01/09/2010,19:37,2.03
02/09/2010,02:28,3.5
02/09/2010,08:08,2.12
02/09/2010,15:03,3.46
02/09/2010,21:11,2.13
03/09/2010,03:47,3.42
03/09/2010,09:50,2.24
03/09/2010,16:23,3.47
03/09/2010,22:58,1.96
04/09/2010,05:16,3.48
04/09/2010,11:27,2.11
04/09/2010,17:44,3.61
05/09/2010,00:12,1.59
05/09/2010,06:33,3.67
05/09/2010,12:32,1.83
05/09/2010,18:50,3.85
06/09/2010,01:06,1.15
06/09/2010,07:32,3.91
06/09/2010,13:22,1.52
06/09/2010,19:45,4.12
07/09/2010,01:53,0.73
07/09/2010,08:23,4.13
07/09/2010,14:05,1.21
07/09/2010,20:35,4.38
08/09/2010,02:36,0.4
08/09/2010,09:09,4.3
08/09/2010,14:47,0.96
08/09/2010,21:20,4.57
09/09/2010,03:19,0.2
09/09/2010,09:53,4.39
09/09/2010,15:28,0.81
09/09/2010,22:05,4.68
10/09/2010,04:01,0.19
10/09/2010,10:35,4.39
10/09/2010,16:09,0.77
10/09/2010,22:49,4.66
11/09/2010,04:41,0.38
11/09/2010,11:17,4.31
11/09/2010,16:50,0.87
11/09/2010,23:32,4.51
12/09/2010,05:22,0.73
12/09/2010,11:57,4.16
12/09/2010,17:30,1.08
13/09/2010,00:17,4.27
13/09/2010,06:02,1.18
13/09/2010,12:38,3.98
13/09/2010,18:14,1.39
14/09/2010,01:06,3.97
14/09/2010,06:45,1.67
14/09/2010,13:24,3.78
14/09/2010,19:05,1.73
15/09/2010,02:04,3.66
15/09/2010,07:38,2.11
15/09/2010,14:20,3.61
15/09/2010,20:29,2.02
16/09/2010,03:20,3.43
16/09/2010,09:08,2.42
16/09/2010,15:35,3.5
16/09/2010,22:29,2.06
17/09/2010,04:52,3.37
17/09/2010,10:52,2.45
17/09/2010,17:01,3.52
17/09/2010,23:51,1.88
18/09/2010,06:10,3.45
18/09/2010,12:00,2.28
18/09/2010,18:14,3.64
19/09/2010,00:44,1.66
19/09/2010,07:06,3.59
19/09/2010,12:47,2.06
19/09/2010,19:08,3.79
20/09/2010,01:22,1.46
20/09/2010,07:49,3.72
20/09/2010,13:23,1.83
20/09/2010,19:50,3.93
21/09/2010,01:53,1.3
21/09/2010,08:26,3.83
21/09/2010,13:55,1.63
21/09/2010,20:28,4.04
22/09/2010,02:23,1.16
22/09/2010,08:59,3.93
22/09/2010,14:26,1.44
22/09/2010,21:02,4.13
23/09/2010,02:51,1.06
23/09/2010,09:30,4
23/09/2010,14:57,1.31
23/09/2010,21:34,4.18
24/09/2010,03:20,1.01
24/09/2010,10:01,4.05
24/09/2010,15:28,1.24
24/09/2010,22:06,4.2
25/09/2010,03:49,1.04
25/09/2010,10:30,4.06
25/09/2010,15:59,1.23
25/09/2010,22:38,4.16
26/09/2010,04:17,1.13
26/09/2010,11:00,4.03
26/09/2010,16:30,1.3
26/09/2010,23:09,4.08
27/09/2010,04:47,1.28
27/09/2010,11:29,3.97
27/09/2010,17:02,1.41
27/09/2010,23:42,3.97
28/09/2010,05:17,1.48
28/09/2010,12:02,3.89
28/09/2010,17:38,1.56
29/09/2010,00:21,3.84
29/09/2010,05:53,1.71
29/09/2010,12:41,3.79
29/09/2010,18:22,1.74
30/09/2010,01:08,3.68
30/09/2010,06:37,1.98
30/09/2010,13:30,3.67
30/09/2010,19:22,1.93
01/10/2010,02:11,3.54
01/10/2010,07:44,2.24
01/10/2010,14:35,3.57
01/10/2010,20:56,2
02/10/2010,03:32,3.47
02/10/2010,09:29,2.35
02/10/2010,15:56,3.56
02/10/2010,22:38,1.81
03/10/2010,04:59,3.55
03/10/2010,11:05,2.19
03/10/2010,17:18,3.7
03/10/2010,23:49,1.46
04/10/2010,06:14,3.74
04/10/2010,12:10,1.9
04/10/2010,18:26,3.93
05/10/2010,00:43,1.07
05/10/2010,07:11,3.97
05/10/2010,12:59,1.58
05/10/2010,19:21,4.19
06/10/2010,01:29,0.74
06/10/2010,08:00,4.17
06/10/2010,13:43,1.28
06/10/2010,20:11,4.42
07/10/2010,02:12,0.51
07/10/2010,08:45,4.32
07/10/2010,14:24,1.03
07/10/2010,20:58,4.58
08/10/2010,02:54,0.42
08/10/2010,09:28,4.41
08/10/2010,15:06,0.87
08/10/2010,21:44,4.63
09/10/2010,03:35,0.5
09/10/2010,10:09,4.42
09/10/2010,15:47,0.84
09/10/2010,22:29,4.58
10/10/2010,04:15,0.74
10/10/2010,10:50,4.36
10/10/2010,16:29,0.93
10/10/2010,23:13,4.41
11/10/2010,04:54,1.09
11/10/2010,11:30,4.23
11/10/2010,17:11,1.13
11/10/2010,23:58,4.17
12/10/2010,05:32,1.51
12/10/2010,12:11,4.07
12/10/2010,17:55,1.42
13/10/2010,00:46,3.89
13/10/2010,06:13,1.92
13/10/2010,12:55,3.89
13/10/2010,18:46,1.73
14/10/2010,01:41,3.62
14/10/2010,07:01,2.29
14/10/2010,13:47,3.71
14/10/2010,20:02,2
15/10/2010,02:52,3.42
15/10/2010,08:16,2.55
15/10/2010,14:54,3.58
15/10/2010,21:50,2.08
16/10/2010,04:17,3.36
16/10/2010,10:03,2.59
16/10/2010,16:16,3.55
16/10/2010,23:10,1.97
17/10/2010,05:32,3.43
17/10/2010,11:20,2.43
17/10/2010,17:31,3.61
18/10/2010,00:05,1.79
18/10/2010,06:29,3.56
18/10/2010,12:11,2.2
18/10/2010,18:29,3.73
19/10/2010,00:45,1.62
19/10/2010,07:14,3.7
19/10/2010,12:51,1.97
19/10/2010,19:14,3.86
20/10/2010,01:19,1.47
20/10/2010,07:51,3.83
20/10/2010,13:26,1.76
20/10/2010,19:54,3.97
21/10/2010,01:49,1.34
21/10/2010,08:26,3.95
21/10/2010,13:59,1.57
21/10/2010,20:30,4.07
22/10/2010,02:19,1.25
22/10/2010,08:58,4.05
22/10/2010,14:31,1.42
22/10/2010,21:05,4.14
23/10/2010,02:49,1.21
23/10/2010,09:30,4.12
23/10/2010,15:03,1.33
23/10/2010,21:39,4.17
24/10/2010,03:19,1.23
24/10/2010,10:02,4.15
24/10/2010,15:36,1.28
24/10/2010,22:14,4.15
25/10/2010,03:50,1.3
25/10/2010,10:33,4.15
25/10/2010,16:11,1.3
25/10/2010,22:49,4.1
26/10/2010,04:23,1.42
26/10/2010,11:05,4.11
26/10/2010,16:47,1.36
